Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Delivery,Visit,Visit,35,21,0,1,0,0,58.74,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,6.75,0,145.13,145.13,Female,44,Married,Asian Canadian,0,0,0,1
Personal Care,Hourly,Hourly,38,21.5,0,12,0,387,387,Female,48,Married,Asian Canadian,0,1,0,0
Personal Care,Hourly,Hourly,0,21,0,4,0,84,84,Female,44,Married,Asian Canadian,0,0,0,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,31,19,0,5,0,95,95,Female,41,Married,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,20,0,7,0,140,140,Female,54,Married,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,275.5,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,33,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Palliative,Hourly,Hourly,35,20,0,12,0,240,240,Female,55,Married,Caribbean Canadian,0,4,1,0
Personal Care,Hourly,Hourly,36,20,0,4,0,80,80,Female,34,Unknown,Italian Canadian,1,2,0,1
Personal Care,Hourly,Hourly,38,20,0,8,0,160,160,Female,50,Married,Middle Eastern Canadian,0,1,0,0
Caregiver Training,Hourly,Hourly,0,20,0,3.5,0,70,70,Female,44,Unknown,Asian Canadian,1,2,1,1
Personal Care,Hourly,Hourly,32,22,0,15,0,330,330,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,33,20,0,10,0,200,200,Female,32,Unknown,Asian Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,21,12,0,252,0,252,Female,36,Married,African Canadian,0,0,1,1
Personal Care,Hourly,Hourly,34,21,0,4,0,84,84,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Live-In,Visit,Visit,340,250,0,1,0,250,250,Female,43,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,43,Married,Middle Eastern Canadian,0,2,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,132,132,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,34,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,31,19,0,6,0,114,114,Female,51,Married,Middle Eastern Canadian,0,6,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,172,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,31,19,0,12,0,228,228,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,33,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,35,21,0,3,0,63,66.95,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Respite Personal Care,Hourly,Hourly,35,20,0,3.5,0,70,70,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,265,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,37,22.5,0,4,0,90,90,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,35,20.5,0,4,0,82,82,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,0,0,6,0,0,0,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Palliative,Hourly,Hourly,35,20,0,10,0,200,200,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,258,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,36,21,0,12,0,252,252,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Female,44,Married,Eastern European Canadian,0,1,0,1
Personal Care,Hourly,Hourly,36,21.5,0,11.5,0,247.25,247.25,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,37,22,0,4,0,88,101.92,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,34,18,0,4,0,72,97,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,40,21.5,0,4,0,86,93.07,Female,44,Married,Eastern European Canadian,0,1,0,1
Caregiver Training,Hourly,Hourly,35,20,0,4.75,0,95,95,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,37,0,0,10,0,0,0,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,36,22,0,12,0,264,264,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,38,22,0,8,0,176,176,Female,55,Married,Middle Eastern Canadian,0,1,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,19,0,4,0,76,76,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,22,0,12,0,264,264,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,21,0,12,0,252,252,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,40,21,0,5,0,105,105,Male,59,Single,Hispanic or Latino Canadian,0,1,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Hospall HM Work,Hourly,Visit,35,200,0,1,0,200,200,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
Respite Personal Care,Hourly,Hourly,38,21.5,0,4,0,129,129,Female,36,Married,African Canadian,0,0,1,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,38,21.5,0,12,0,258,261.74,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,34,21,0,3,0,63,73,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,33,20,0,8,0,160,160,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Post Operative Care,Hourly,Hourly,37,20,0,5,0,100,100,Female,57,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,34,23,0,1,0,23,23,Male,53,Married,Asian Canadian,0,11,0,1
RPNRN Shift,Hourly,Hourly,42,28,0,12,0,336,336,Female,48,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Palliative,Hourly,Hourly,34.5,21,0,10,0,210,210,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,32,20,0,9,0,180,180,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,31,16,0,8,0,128,128,Female,2,Married,African Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,32,20,0,5,0,100,100,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,37,21.5,0,4,0,86,86,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
Post Operative Care,Hourly,Hourly,38,21,0,12,0,252,254.69,Female,39,Married,African Canadian,1,2,0,1
Personal Care,Hourly,Hourly,33,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
On Call Duty,Visit,Visit,35,200,0,1,0,200,200,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,34,20,0,3,0,60,70,Female,27,Unknown,African Canadian,1,3,0,1
Personal Care,Hourly,Hourly,34,20.5,0,4,0,82,92,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176.96,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,38,22,0,8,0,176,176,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,17.5,0,0,0,0,0,0,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,40,22.5,0,4,0,90,113,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,38,21.5,0,7,0,150.5,150.5,Female,51,Married,Middle Eastern Canadian,0,6,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP CH Visit,Hourly,Visit,75,21,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Post Operative Care,Hourly,Hourly,36,0,0,4.08,0,0,0,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,21.5,0,5,0,107.5,107.5,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,17.5,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Palliative,Hourly,Hourly,34.5,21,0,2,0,42,42,Male,56,Married,African Canadian,0,9,1,1
Respite Personal Care,Hourly,Hourly,35,20,0,3.5,0,70,70,Female,58,Married,African Canadian,1,2,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,10,0,215,365,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,38,21.5,0,5.25,0,112.88,112.88,Female,50,Married,Middle Eastern Canadian,0,2,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,59,Married,Middle Eastern Canadian,1,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,38,21.5,0,12,0,258,258,Female,51,Married,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,31,18,0,5,0,90,90,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,52,Married,Middle Eastern Canadian,0,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,32,22,0,10,0,220,220,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,37,22.5,0,9.5,0,213.75,213.75,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Live-In,Hourly,Hourly,195.5,127.5,0,1,0,127.5,127.5,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,254.94,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,0,0,9.57,0,0,0,Female,46,Married,British Canadian,1,3,0,1
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,40,Married,Italian Canadian,1,4,0,1
Foot Care,Visit,Visit,75,45,0,1,0,45,45,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,36,24,0,7,0,168,168,Female,66,Married,Caribbean Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,38,21.5,0,12,0,258,258,Female,51,Married,Middle Eastern Canadian,0,1,1,1
Post Operative Care,Hourly,Hourly,36,21,0,2,0,42,42,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,174.69,Female,44,Married,Asian Canadian,0,0,0,1
Live-In,Visit,Visit,207,135,0,1,0,135,135,Female,2,Married,African Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Male,28,Single,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
Caregiver Training,Hourly,Hourly,35,21,0,5,0,105,197.87,Female,57,Divorce,British Canadian,0,2,1,0
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Male,24,Single,Asian Canadian,0,1,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,43,Married,Middle Eastern Canadian,0,2,0,1
Respite Personal Care,Hourly,Hourly,36,0,0,4.05,0,0,0,Female,50,Married,Middle Eastern Canadian,0,1,0,0
Personal Care,Hourly,Hourly,40,21,0,5.17,0,108.57,108.57,Female,35,Married,Middle Eastern Canadian,0,0,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32.5,21,0,12,0,252,252,Female,51,Married,Middle Eastern Canadian,0,6,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,28,18,0,5,0,90,90,Female,51,Married,Middle Eastern Canadian,1,5,0,1
Palliative,Hourly,Hourly,34.5,21.5,0,10,0,215,215,Female,32,Married,African Canadian,1,4,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,33,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
Delivery,Visit,Visit,35,0,0,1,0,0,56.5,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21,0,9.5,0,199.5,199.5,Female,46,Married,British Canadian,1,3,0,1
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Male,56,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,18,0,9,0,162,162,Female,59,Married,Asian Canadian,0,7,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,40,21.5,0,9,0,193.5,193.5,Female,43,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,73,Unknown,Caribbean Canadian,1,3,1,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,86,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Palliative,Hourly,Hourly,35,20,0,5,0,100,100,Female,55,Married,Caribbean Canadian,0,4,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,37,21.5,0,4,0,86,102,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,90,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,33,20,0,14.5,0,290,290,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP CH Visit,Hourly,Visit,75,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Covid 19 Rapid Antigen Testing,Hourly,Hourly,60,40,0,2,0,80,80,Male,53,Married,Asian Canadian,0,11,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,21,0,6,0,126,151,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,38,19,0,9,0,171,171,Female,23,Single,Jewish Canadian,1,3,0,1
Personal Care,Hourly,Hourly,36,21,0,7,0,147,147,Female,44,Married,Eastern European Canadian,0,1,0,1
Personal Care,Hourly,Hourly,31,21,0,6,0,126,126,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21,0,2,0,42,42,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,40,21,0,4,0,84,84,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Post Operative Care,Hourly,Hourly,40,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,31,21,0,5,0,105,105,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Phone Consult,Hourly,Hourly,35,0,0,0.25,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,6,0,129,129,Female,62,Unknown,British Canadian,0,3,0,1
Personal Care,Hourly,Hourly,36,21,0,9.5,0,199.5,199.5,Female,46,Married,British Canadian,1,3,0,1
Palliative,Hourly,Hourly,36,21,0,8,0,168,168,Female,32,Separated,African Canadian,0,1,0,1
Supervisory Visit,Hourly,Hourly,60,35,0,3.5,0,122.5,122.5,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,57,Divorce,British Canadian,0,2,1,0
Personal Care,Hourly,Hourly,32,19,0,10,0,190,190,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,31,17,0,5,0,85,85,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Live-In,Hourly,Hourly,35,21,0,16,0,336,336,Female,41,Married,African Canadian,0,1,1,1
Personal Care,Hourly,Hourly,28,18,0,5,0,90,90,Female,51,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,39,21.5,0,4,0,86,86,Female,50,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,258,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,31,19,0,6,0,114,114,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,32,17,0,4,0,68,68,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,40,22,0,5,0,110,110,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,32,16,0,4,0,64,64,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Male,60,Married,Middle Eastern Canadian,1,1,1,0
Personal Care,Hourly,Hourly,38,21,0,12,0,252,269,Female,39,Married,African Canadian,1,2,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,32,Unknown,Asian Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,19,0,4,0,76,80.8,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32.5,21.5,0,12,0,258,258,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,36,23,0,4,0,92,92,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Respite Personal Care,Hourly,Hourly,35,20,0,3.5,0,70,70,Female,58,Married,African Canadian,1,2,0,1
RPNRN Shift,Hourly,Hourly,42,28,0,12.5,0,350,350,Female,48,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,20,0,10,0,200,200,Female,34,Unknown,African Canadian,1,3,1,1
RPNRN Visit,Visit,Visit,140,65,0,1,0,65,65,Female,66,Married,Caribbean Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,21.5,0,7,0,150.5,179.62,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,35,21.5,0,4,0,86,102,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
HMAP CH Visit,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,41,19,0,10,0,285,285,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,0,21.5,0,4,0,86,86,Female,44,Married,Asian Canadian,0,0,0,1
Live-In,Hourly,Hourly,35,22,4,12,88,264,352,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,35,22,0,6,0,132,146.4,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,41,21.5,0,4,0,86,86,Female,44,Married,Asian Canadian,0,0,0,1
Personal Care,Hourly,Hourly,32,0,0,8,0,0,0,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
RPNRN Shift,Hourly,Hourly,48,30,0,12,0,360,360,Female,48,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
